accnum,age,job_admin,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default,balance,housing,loan,channel_cellular,channel_telephone,channel_unknown,duration,pdays,previous,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,deposit
2029850476,58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2143,1,0,0,0,1,261,-1,0,0,0,0,1,0
2056130749,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29,1,0,0,0,1,151,-1,0,0,0,0,1,0
2008174263,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,1,76,-1,0,0,0,0,1,0
2012075639,47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1506,1,0,0,0,1,92,-1,0,0,0,0,1,0
2060978512,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,198,-1,0,0,0,0,1,0
2056948071,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,231,1,0,0,0,1,139,-1,0,0,0,0,1,0
2075301928,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,447,1,1,0,0,1,217,-1,0,0,0,0,1,0
2025319684,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1,380,-1,0,0,0,0,1,0
2051480326,58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,121,1,0,0,0,1,50,-1,0,0,0,0,1,0
2054327098,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,593,1,0,0,0,1,55,-1,0,0,0,0,1,0
2009475182,41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,270,1,0,0,0,1,222,-1,0,0,0,0,1,0
